/Library/Frameworks/Python.framework/Versions/3.5/bin/python3.5 /Users/newfrontier2/Desktop/School/CSCI447/Project3/project_3/__init__.py
Generation=507, Training Error=-0.727, Testing Error=0.589
Generation=508, Training Error=-0.706, Testing Error=0.591
Generation=509, Training Error=-0.685, Testing Error=0.594
Generation=510, Training Error=-0.664, Testing Error=0.597
Generation=511, Training Error=-0.643, Testing Error=0.600
Generation=512, Training Error=-0.623, Testing Error=0.602
Generation=513, Training Error=-0.603, Testing Error=0.605
Generation=514, Training Error=-0.583, Testing Error=0.608
Generation=515, Training Error=-0.564, Testing Error=0.610
Generation=516, Training Error=-0.544, Testing Error=0.613
Generation=517, Training Error=-0.525, Testing Error=0.615
Generation=518, Training Error=-0.506, Testing Error=0.618
